State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
OH,LUCAS,28245,42072,60095,69064,58488,60095,76.2,87.1,91.0,1115.0,727,746,102296.0,462361,441815,425484,121.0,305,372,385,1.18,0.66,0.84,0.9,-0.979711376113891,-1.11731240865716,-1.4205347904113600,-2.6071428571428600,-1.764705882352940,-2.185924369747900,-1.805059640295440
OH,MADISON,29935,50533,83229,73196,70250,83229,69.5,84.4,88.9,67.0,60,51,20057.0,37068,43435,44602,56.0,58,73,64,2.79,1.56,1.68,1.43,-0.501495480004691,-0.587064952506896,-0.6769822578521750,-0.6904761904761900,-0.7058823529411770,-0.6981792717086830,-0.6841029903923100
OH,MAHONING,24062,40123,55576,58835,55779,55576,74.6,87.3,91.6,638.0,393,433,55979.0,264806,238823,225596,111.0,251,321,281,1.98,0.95,1.34,1.25,-0.979711376113891,-0.853722582593416,-1.0483628201029300,-1.6547619047619000,-1.423529411764710,-1.539145658263310,-1.317737653074670
OH,MARION,26330,40511,57306,64381,56318,57306,73.8,83.0,89.1,120.0,66,71,24727.0,64274,66501,64851,70.0,80,95,92,2.83,1.24,1.43,1.42,-0.979711376113891,-0.72660014132976,-0.8064317765171510,-0.6428571428571430,-1.0823529411764700,-0.8626050420168070,-0.8079912565242260
OH,MEDINA,38083,66193,92660,93119,92021,92660,82.4,92.5,94.5,292.0,264,372,21742.0,122354,172332,184042,79.0,112,144,145,3.63,0.92,0.84,0.79,-0.979711376113891,-1.07759417165743,-1.0458559834323500,0.30952380952380900,-1.4588235294117600,-0.5746498599439780,-0.5910285008451650
OH,MEIGS,17707,33407,46701,43296,46442,46701,64.0,82.2,86.7,47.0,15,25,29813.0,22987,23770,21767,131.0,76,75,76,4.39,3.31,3.16,3.49,0.394741708147066,0.621943616500497,0.7419840592957530,1.2142857142857100,1.352941176470590,1.2836134453781500,0.8090988543833280
OH,MERCER,29618,49719,78036,72421,69119,78036,75.5,88.3,94.7,69.0,34,88,27220.0,39443,40814,42439,104.0,70,71,76,3.82,1.77,1.74,1.79,-0.292484833983413,-0.44679323947735,-0.3945935778768440,0.5357142857142850,-0.4588235294117650,0.03844537815126030,-0.12908566865397400
OH,MIAMI,31425,51507,74175,76839,71604,74175,76.6,87.5,92.8,205.0,139,193,39754.0,93182,102506,110876,122.0,112,132,145,3.07,1.2,1.29,1.31,-0.979711376113891,-0.79297751216216,-0.8396073362707260,-0.3571428571428570,-1.1294117647058800,-0.74327731092437,-0.7180825659412690
OH,MONROE,20413,37030,58962,49913,51479,58962,69.4,85.5,90.0,34.0,18,22,25175.0,15497,14642,13153,95.0,78,76,67,3.77,5.03,5.19,5.09,1.76919479240802,1.86031658846692,1.8795933779638000,0.4761904761904760,3.3764705882352900,1.9263305322128800,1.2933605692720500
OH,MONTGOMERY,30111,43965,64403,73626,61120,64403,77.8,87.7,92.1,1389.0,726,843,100852.0,573809,535153,533796,177.0,445,583,630,1.76,0.78,1.09,1.18,-0.979711376113891,-0.969620620082909,-1.1925908611161100,-1.916666666666670,-1.6235294117647100,-1.770098039215690,-1.4917510694729000
